Year, Number of Movies
1901, 1
1911, 1
1914, 1
1917, 1
1918, 1
1919, 4
1920, 2
1921, 2
1922, 5
1923, 3
1924, 2
1925, 4
1926, 7
1927, 8
1928, 4
1929, 7
1930, 10
1931, 11
1932, 12
1933, 6
1934, 12
1935, 12
1936, 17
1937, 16
1938, 12
1939, 26
1940, 35
1941, 19
1942, 30
1943, 22
1944, 19
1945, 25
1946, 33
1947, 27
1948, 22
1949, 27
1950, 24
1951, 26
1952, 27
1953, 37
1954, 37
1955, 41
1956, 46
1957, 51
1958, 44
1959, 49
1960, 39
1961, 35
1962, 48
1963, 41
1964, 51
1965, 43
1966, 47
1967, 49
1968, 45
1969, 47
1970, 77
1971, 85
1972, 85
1973, 103
1974, 111
1975, 98
1976, 90
1977, 94
1978, 87
1979, 104
1980, 158
1981, 171
1982, 189
1983, 138
1984, 190
1985, 194
1986, 206
1987, 235
1988, 276
1989, 247
1990, 220
1991, 235
1992, 239
1993, 293
1994, 363
1995, 395
1996, 430
1997, 401
1998, 450
1999, 438
2000, 455
2001, 467
2002, 536
2003, 480
2004, 356
2005, 249
2006, 316
2007, 291
2008, 166
2009, 117
2010, 78
2011, 81
2012, 25
